,TIME,A3,A4,B3,B4,C3,C4,D3,D4
0,0,40.89931035,37.73179015,41.43945723,39.25467679,37.6192908,44.60820181,43.25463606,39.28911698
1,0.5,42.03311354,38.82271705,42.93866294,42.66636789,38.04001625,43.75687887,43.64266407,39.9394876
2,1,42.07945712,38.94461241,43.18196929,43.28222085,39.34567054,47.44385739,43.29730683,39.31755696
3,1.5,41.21389628,38.24431119,44.77368862,43.98097422,37.32802037,45.83898787,43.6204235,41.30589192
4,2,41.21643911,39.59188736,44.36904886,42.34884203,36.65813452,47.60641077,46.5455598,41.56797576
5,2.5,43.39526599,40.59225274,44.48917738,42.80157794,38.62035802,47.27612081,46.62040049,41.54524283
6,3,41.35313983,41.83776277,44.60236484,43.19407955,39.70235713,47.81883691,48.90879113,40.82949309
7,3.5,41.74297682,42.61022196,45.5641266,43.86497739,39.94618121,48.96907692,49.80594441,43.05030661
8,4,41.87723688,44.25713507,46.13555998,45.79546226,43.42236439,50.33368471,50.83628869,44.16466505
9,4.5,42.67323131,44.1915827,47.14855419,44.24638439,41.16011137,50.02598465,51.78632043,45.67282709
10,5,42.3225496,45.88284105,49.90330117,46.41625212,43.24275362,51.11689353,52.46123918,46.9211062
11,5.5,43.77056433,46.03093718,50.56335025,49.48930088,45.90044,52.63066279,53.78632999,48.09892486
12,6,45.22290813,45.51574981,47.96071458,48.86710461,46.33502438,53.34268876,55.43164427,49.00356994
13,6.5,46.51551927,45.73379002,50.10671587,49.67813912,45.95566479,54.50929181,55.55328236,49.33605534
14,7,46.57700959,45.60706955,50.66412187,49.51639698,47.47974373,55.04857982,55.34236861,49.51796426
15,7.5,45.90938716,46.43700732,51.97788528,48.80842609,48.32299189,55.62748413,55.68681048,49.96786682
16,8,47.60492384,46.90850164,50.4514135,46.72245575,47.48067517,56.12734425,56.0274907,50.66812539
17,8.5,47.17524527,47.72088677,50.29954166,48.10431327,48.47369229,53.87893772,57.15391463,50.33751398
18,9,48.00378585,47.82046152,49.19464558,46.26646543,49.4346301,54.13755328,54.6953658,51.61074296
19,9.5,47.71700591,48.52564926,49.89276114,46.28323731,49.37599257,53.65025748,56.34184064,51.23938759
20,10,47.9155467,47.76179485,50.21290576,43.97406705,48.7211132,53.88113096,56.34637044,50.96949514
21,10.5,47.48840905,48.10956825,49.03219053,44.54296782,48.16352309,54.10940263,56.21771608,49.46516904
22,11,49.18300212,46.92784192,48.88950563,45.40232576,48.48492594,53.7017921,54.99005306,48.05040513
23,11.5,47.57887938,45.54082422,48.31864178,45.05906864,50.43149546,53.75691222,54.70978197,47.61146656
24,12,47.53151985,45.16939148,48.47291418,43.10707017,49.96948306,52.85957225,53.94188226,48.68782592
25,12.5,48.43280652,46.23194941,49.34188747,44.91112286,49.07200654,52.80406675,49.28676184,46.04252228
26,13,46.8111822,45.73409533,46.41334491,41.63151747,47.1945638,51.08215587,50.35895342,47.39356829
27,13.5,47.81650178,45.9184603,49.09221712,42.11832679,47.35133944,50.41832855,51.33963488,47.85514645
28,14,48.10159852,43.82339363,47.58126382,39.23110376,46.77923201,50.02564632,50.09717064,47.0597854
29,14.5,47.78063181,43.95372039,46.25169131,38.49379541,46.43373667,50.88272687,52.256823,46.68938847
30,15,47.39520491,43.85011772,47.63831477,38.65159949,46.67615409,51.22008912,51.11420945,47.23898434
31,15.5,48.40097505,42.80868322,47.2161079,39.30721895,44.68597199,50.84238809,52.12031741,44.53800357
32,16,47.9967006,42.76265084,48.35699352,37.80073093,44.57433691,51.20844751,51.11138428,44.64909315
33,16.5,49.55441968,42.21720353,47.31701991,37.38215259,45.91299912,50.08556418,48.30348577,42.54516899
34,17,48.06984931,44.04864727,47.11291367,38.67388201,45.0799247,49.36219146,50.04676895,43.49560393
35,17.5,50.18555124,42.57616271,45.60797646,37.44307147,42.96979617,48.61880902,50.41909663,41.95788528
36,18,48.04706782,41.46220835,44.41972785,36.41748406,42.91605162,47.21802986,48.20291344,42.21592243
37,18.5,49.16797711,41.38734625,44.45156034,36.12481181,42.47682157,46.4259155,46.99798739,41.09103133
38,19,49.85172501,40.66928413,44.52145749,35.35487426,40.58498473,45.17927682,46.95724854,41.00782024
39,19.5,50.34542381,41.01746797,43.08656285,35.96506312,41.21780352,43.70685713,48.12507524,41.08553004
40,20,50.5174559,40.96317708,44.10151631,35.49022434,41.92216095,43.98185052,46.31355611,40.58556285
41,20.5,49.07261524,41.28636807,42.49832958,35.35717485,41.29490551,43.6755536,45.29804425,39.12142731
42,21,50.53286599,42.36748581,42.92070546,34.56825874,38.55202656,42.69923567,43.7674671,38.26601361
43,21.5,51.87829699,40.3122808,42.16453731,35.37810552,38.27026653,41.33540283,43.47121783,38.45169289
44,22,50.99540382,40.9736093,42.9959367,35.65606244,37.63098618,40.63212105,42.43441328,39.34208752
45,22.5,51.32617199,41.34631114,41.72843457,33.74716256,37.04896017,40.45138592,42.86523718,39.27899992
46,23,50.38461208,41.01276759,41.85205903,33.84565315,36.72521225,39.41494598,43.43867747,39.49084397
47,23.5,50.69546749,41.56897897,41.36168528,32.93313333,33.59546899,39.1059487,42.63008654,38.65041283
48,24,50.58933816,40.42205467,41.41068033,33.91914216,34.1080666,38.96864481,43.40013563,37.4407076
49,24.5,49.31761752,42.17052091,42.05036475,32.22087377,30.85725067,37.33919486,43.80418378,36.24465594
50,25,49.88326913,42.32620216,42.46618929,32.76939348,30.41477021,36.06021802,42.10973473,35.80510992
51,25.5,49.05582372,43.77931911,41.81433545,32.86257862,31.69863345,36.35198191,40.20402251,37.38065214
52,26,49.15359251,43.51130399,43.09057215,33.31121046,29.93854347,37.13983292,39.10785147,37.0063125
53,26.5,48.42084726,42.57332594,41.61803354,32.33596623,29.94060911,35.13468527,40.30511762,35.86257318
54,27,48.7107251,45.01326708,43.93839056,32.43766116,31.06542022,33.45943511,37.84837671,35.7876122
55,27.5,48.37735388,43.75778776,43.67317676,33.58027856,29.00414771,32.95503874,38.55495613,37.58785387
56,28,48.37625051,44.10873951,44.91935487,33.74348041,28.89524117,32.25409105,37.71121263,37.13319952
57,28.5,47.39812377,43.63874256,43.38000655,32.76350837,30.28261879,32.11165787,37.71643783,36.06020079
58,29,47.59256793,45.21927934,43.37373608,34.4775291,29.90241743,33.01539243,37.11247857,35.83859188
59,29.5,47.78122014,45.1937099,44.68296939,33.81804078,27.23679077,31.38046378,36.12692489,35.96625411
60,30,47.91223828,44.50502424,45.38610334,33.57300036,26.82990529,30.31265942,36.10237203,35.52005794
61,30.5,46.37987504,45.74704251,44.52045245,33.3136494,28.83700775,29.19738604,34.36232255,36.61538723
62,31,47.39718313,45.25339654,46.17013323,34.75042672,27.86880268,27.1028856,33.22888414,34.62863743
63,31.5,48.02418923,44.79646756,47.27610153,34.46663879,28.60802154,27.8035982,34.56098248,34.76962415
64,32,46.54222818,44.05182395,45.85008228,35.98299262,28.27063625,28.28708732,31.65773759,33.83152941
65,32.5,47.88511796,45.29260368,47.61715676,35.47573738,29.5954413,27.12953751,30.14964613,34.46708684
66,33,48.31196691,44.57497999,47.27788329,35.14208668,30.0964206,26.13744703,29.625,34.60488625
67,33.5,48.61895309,44.88184978,48.93423371,34.83565449,30.89047523,26.29241743,28.4168203,35.03722078
68,34,50.24786762,45.42808051,48.08682909,35.20683295,30.16577208,25.49548957,27.65881108,35.29602559
69,34.5,51.06835398,45.51873712,49.08807666,37.77574026,31.34861215,26.09883859,27.7283298,33.38598191
70,35,52.44532093,45.95024316,49.06824225,37.50835251,33.13031022,24.82741411,28.31400966,32.43414803
71,35.5,52.46978073,46.96012192,49.71924175,37.70554175,30.91900885,24.69591781,27.17508741,34.02772499
72,36,51.1162151,46.71785393,51.20942999,38.64445511,32.42254474,24.63774852,26.27743905,34.61672412
73,36.5,52.69391506,47.6369323,52.00986162,38.87485881,31.90451667,24.41597,27.44149004,36.05652861
74,37,52.60090163,48.06008005,49.9965403,39.60704677,33.35678929,23.71382254,26.54746664,33.91006495
75,37.5,52.44977914,50.01635918,51.95288433,38.61682053,34.78283395,22.72739873,24.46231983,33.73971771
76,38,51.23961391,49.52677315,51.62169117,38.77119735,36.1130523,23.90503815,26.27849445,33.47737646
77,38.5,49.80640739,48.89183469,52.30398629,40.51111033,37.2061983,20.56398931,24.93800366,33.0249262
78,39,50.73487131,50.08772822,51.90165279,40.79809941,37.13348079,21.01770236,26.22544179,32.98388598
79,39.5,52.67596097,50.58287219,52.90201093,41.90758515,37.88480364,20.10531856,28.81801654,31.40028047
80,40,51.97595123,51.07145748,52.41643027,40.66664696,37.77116402,19.29264384,26.05027988,32.29610685
81,40.5,53.15923963,51.82932157,55.10585371,41.92792542,38.3842205,20.27804013,26.20294308,32.01291284
82,41,54.26448389,51.03626728,54.75705258,42.42617645,38.5941457,20.8398524,23.50668338,32.35493762
83,41.5,53.81271488,50.71479373,55.99727622,42.86443837,38.75194887,19.79814537,23.02430556,32.30042017
84,42,53.47403257,52.54188532,56.6785535,43.32246333,42.00038503,19.69415124,20.46876493,35.24046133
85,42.5,54.65978701,51.67380675,55.74291903,43.26252906,41.26330452,20.40784988,25.27372406,34.52848542
86,43,54.09016191,51.82808374,55.68044309,43.01847087,40.77825316,21.83267011,26.12447715,37.97090443
87,43.5,54.76756755,52.17456865,57.0565989,43.47212666,41.28885187,20.95159774,25.35813215,37.32195224
88,44,53.45776745,52.06458285,55.15576058,44.02723521,42.47970979,21.71842825,24.99525311,36.50482391
89,44.5,54.59892419,50.38083289,54.08709966,43.95223826,42.45152131,19.71322025,24.45781731,35.21929061
90,45,55.03556105,52.3983178,53.89407234,44.99350133,44.66684916,23.20730564,24.49856502,37.0124316
91,45.5,55.62850305,51.84230369,55.45427049,44.11500379,44.0090788,21.9168417,25.79743274,35.08045945
92,46,55.72729981,50.94355371,53.2045896,43.78525872,44.51404875,20.41663706,22.52624834,35.04720837
93,46.5,54.7432053,50.98594188,55.27082429,44.84871785,45.03214659,18.33946976,22.84658176,34.90909091
94,47,57.86641067,51.08660838,53.12851308,44.94001659,45.17316864,24.70734117,23.51290222,37.35098074
95,47.5,59.0791775,51.24793407,51.25393357,44.67174233,48.82970827,23.95517768,26.47140255,35.9514638
96,48,47.36073315,42.54730294,45.492209,35.34852176,38.85258386,22.16224652,24.19484772,36.2248669
97,48.5,50.33346295,45.11360482,50.17450696,40.25761555,44.57689808,24.80959183,24.3614887,34.13201198
98,49,51.55081093,46.26617797,51.91901914,42.21270814,47.3114159,24.91108029,21.35007849,40.14807997
99,49.5,51.74627635,46.63754915,52.93508712,41.85891959,47.30046946,23.221393,20.77936225,37.99235279
100,50,52.93415805,46.154789,52.85276198,43.92545254,48.46330092,24.75756708,19.63139793,35.16339869
101,50.5,53.22926411,46.50134301,53.47460159,44.14416215,47.21127981,22.66998626,19.15958826,33.46301484
102,51,53.94944846,47.81700558,52.56184027,44.3123439,49.37174537,22.99107143,18.45180752,32.99172959
103,51.5,53.21566236,48.6761445,54.65278862,44.1012798,49.67407243,22.5829979,20.67545077,33.70466135
104,52,54.7472741,48.26123498,54.98440094,44.29278131,49.8169302,25.50894403,22.15241174,37.38301354
105,52.5,55.76781152,49.67616452,55.69617452,45.96579254,51.23314297,23.13886163,22.10134885,31.77192071
106,53,55.77511802,51.70069001,57.12008209,46.08095828,50.93932122,23.0732472,21.59602113,32.76592688
107,53.5,57.41078251,51.49572281,57.31280102,46.28121681,51.59012448,25.66955354,20.87163469,34.61981492
108,54,57.80064774,51.88614387,57.10717752,47.21667087,52.80130329,25.51949236,19.98070555,34.80461952
109,54.5,56.8820324,53.21701824,57.34470281,47.85679654,51.57899685,25.98369067,20.57692308,31.77544891
110,55,58.94341661,53.26505958,55.18582251,47.86925137,50.42016495,26.48452213,18.40870241,32.37583018
111,55.5,56.88116504,52.32576782,57.15669449,48.44597118,50.36911264,26.50735601,20.0463955,31.52164212
112,56,56.47316572,52.23656655,55.92724365,46.90055551,50.04206924,27.49509432,17.78110778,30.88023088
113,56.5,57.11537799,52.36761256,56.17762016,47.19789725,51.53513594,28.66154354,17.44481735,30.6600291
114,57,56.03474196,53.35277758,57.03536924,46.38582447,49.96805987,26.40642151,19.70210725,29.32476083
115,57.5,56.34642212,53.3402624,55.26680639,47.18718971,52.28243847,29.99585283,19.29283084,28.56131982
116,58,54.15335065,52.98840117,54.29929922,47.4477981,48.87069302,26.97507658,18.22649573,27.96797366
117,58.5,55.9702195,53.68517897,53.59034535,46.80812184,47.57409002,24.96698309,21.83983081,27.18053551
118,59,54.28214378,53.43893509,52.54098908,45.70102146,46.36350116,27.16822831,18.92117759,28.76582761
119,59.5,53.7659778,52.8422772,53.67626961,45.51587855,45.32840015,28.43904506,20.41910331,28.34546406
120,60,53.80119604,52.66017512,51.23367901,44.48977202,44.66235622,31.10241638,19.51609928,25.91938035
121,60.5,53.69960442,52.17581546,52.13348784,44.32006421,44.3807502,28.55527908,21.22313776,27.36111111
122,61,53.65268127,51.46139912,51.13392624,44.36082935,44.98356243,33.55521337,22.64839147,27.43537184
123,61.5,53.78604567,53.09276325,52.61664722,44.0177065,44.84199599,31.37369769,19.07929056,29.0806936
124,62,54.34297031,52.20760001,51.28776124,43.23279623,45.16179649,32.95325531,23.84158433,30.39377831
125,62.5,53.23974941,53.45330323,49.87441954,41.50790605,43.55816857,31.88320559,20.65189712,28.10284972
126,63,53.93291636,54.20777587,50.83769668,43.05665112,43.92272784,32.42694631,21.69463439,28.76546886
127,63.5,53.03622092,53.20377197,51.0881487,42.77585759,43.53524933,32.27150953,23.0668728,30.68166993
128,64,52.7661514,52.5371104,49.14723516,41.5361231,40.83008265,32.64996183,25.51072199,27.78323637
129,64.5,54.08224686,52.52526653,49.39147857,41.13806153,40.99480111,33.48003306,23.69144144,29.63971243
130,65,54.07372737,53.18171462,48.475994,41.15265921,40.51739954,32.03438903,24.72721404,28.23361823
131,65.5,53.63339815,53.00144598,47.45647484,38.38314593,40.04425846,34.74957912,24.39832177,32.72759238
132,66,53.90744397,52.20891453,47.24411712,38.99501211,38.4915451,33.38796252,25.56508036,28.6465918
133,66.5,53.45393709,52.64730055,46.99233705,39.65872698,38.21047903,31.49063999,25.62308549,28.88618956
134,67,52.77472688,53.75081129,47.75654779,39.34523555,38.50848698,32.65572806,22.95537341,29.58737135
135,67.5,53.80809834,54.47945898,46.69056882,39.83620171,37.49860461,31.71890074,24.51419636,27.43854788
136,68,52.50041978,54.90172942,46.61184571,39.80491443,37.16394986,32.73986083,24.86937831,22.74041157
137,68.5,52.9702228,53.89435449,46.67621587,39.35691485,36.6399415,34.80128722,23.70113041,26.77485906
138,69,53.25497989,53.31379132,46.93507133,38.94630289,36.23711157,30.72107705,24.14054438,26.75407088
139,69.5,52.54006869,55.01818457,46.67874151,38.88067514,33.22232896,32.43526476,27.02055007,26.750124
140,70,52.5583175,54.80471429,47.73436795,39.88669532,32.69552617,28.90979361,25.64141741,26.97132616
141,70.5,53.60024646,55.13504856,48.49340257,38.64355172,34.74439387,31.25950829,24.68531469,25.83518725
142,71,54.13236407,54.48127844,47.61424151,38.04234175,34.2352666,36.03067309,27.76493071,30.55721023
143,71.5,54.37158046,54.17018178,47.70294151,36.64816405,33.91123308,32.33280918,25.44151189,27.37171635
144,72,54.46986486,53.1789092,45.82065208,35.8061233,29.98121642,33.31335707,22.2872303,25.83120205
145,72.5,55.14005977,52.67905656,46.54626609,36.3107503,28.49990915,35.4501278,23.41370646,26.54806999
146,73,55.59347411,53.05508126,47.13097412,35.35395196,29.43198024,37.30811802,24.94407608,25.41296556
147,73.5,55.92470507,54.25185469,47.8577238,35.19299193,30.31623447,34.48799395,24.74010989,29.66339411
148,74,56.75651452,54.22227546,48.46436365,37.79686303,29.99043297,32.24081393,25.40029525,26.89655172
149,74.5,56.29374671,54.55903206,48.98051651,36.62778672,29.202476,33.17410943,23.43550447,29.07536908
150,75,55.79852933,54.91617773,50.52210296,36.52368558,29.21339106,36.02591149,24.37094156,29.55104286
151,75.5,58.23005593,54.1392454,50.05125256,38.17139278,28.75040848,35.37214891,24.6571976,28.91534392
152,76,58.50825736,54.25287314,50.4026449,37.4941109,26.28059259,34.76211372,27.65944272,32.62945471
153,76.5,57.53822165,54.92577417,51.16681504,39.08322664,30.2556736,35.3283329,29.04490571,28.26180876
154,77,57.40441797,53.18987587,50.05968233,39.60131707,29.48832141,36.8559437,29.07781066,25.82622601
155,77.5,57.36331503,53.84561401,50.2086969,38.75276029,28.27329949,37.38539793,28.47733554,31.27349024
156,78,56.67956084,53.56187762,52.03543203,40.46448575,30.28454318,36.23124463,29.39679456,29.87640588
157,78.5,58.50851388,53.33652944,53.64963501,38.93562339,30.59971621,37.77019712,29.81047938,26.43678161
158,79,57.12703789,52.36589913,53.08406013,39.43330124,28.84382426,37.45307824,28.03439153,30.55929214
159,79.5,55.99398161,52.89631436,54.12087236,39.40536524,28.00971195,37.53207478,28.32678807,28.31003012
160,80,56.69638543,52.50939124,54.71640435,39.13681054,27.29104818,39.08356957,27.93374398,26.60031226
161,80.5,56.84556482,52.56474738,52.4628104,39.56856156,28.24144475,38.01220144,27.76219281,29.59770115
162,81,56.12552099,52.46438274,52.43367893,39.18064503,27.03165466,34.54526186,28.33710407,26.28205128
163,81.5,55.87821471,52.49139197,52.66305504,39.92426412,28.57045212,37.39913753,32.06066193,26.62392013
164,82,55.5646474,51.93503002,53.54655536,40.93617394,29.55692923,37.43309868,27.02298493,23.72661708
165,82.5,56.10890265,51.07667663,53.14886025,39.92644384,28.28272272,36.64654869,28.09488749,30.67472032
166,83,56.47073752,52.14232462,53.63749676,40.92963904,28.39174229,38.16054687,28.65593023,29.45120577
167,83.5,55.4600877,52.43284308,53.03535734,40.35364974,28.68526352,37.39934804,28.23588206,26.22868212
168,84,55.83880054,52.88205273,52.70974423,40.34075507,27.93634614,38.71588879,26.93722944,24.78388278
169,84.5,53.99463669,52.29463691,53.19111341,40.44496951,27.11238056,39.74800168,33.45124386,26.42075274
170,85,54.72815167,51.29777131,53.72667273,40.88768775,28.46339446,38.42245904,33.84287103,25.45149639
171,85.5,53.66563208,50.8627925,52.98265077,42.08161734,28.56688026,39.85463852,33.55496585,27.47863248
172,86,54.7068968,52.06512912,52.60945314,41.58091055,29.69737917,38.28615855,27.21683948,28.44424094
173,86.5,54.02949038,51.18862337,53.97926689,41.63510605,29.30666864,34.61410985,27.54716981,29.42468957
174,87,53.57395651,51.30417545,54.815539,41.1752635,28.67401358,40.88653486,27.94414736,30.01672241
175,87.5,54.83142913,50.67770017,52.42815763,40.53960965,29.21718813,35.49428718,26.99649691,28.12752749
176,88,53.56706898,50.76987104,54.02930677,41.3572064,27.8513793,37.38299486,34.26263943,29.19254658
177,88.5,52.2802346,51.5197153,54.61375108,41.12730131,29.46066063,36.35071616,33.21310935,27.33229814
178,89,53.43153537,50.94012742,52.7899229,41.44193211,29.91300072,38.56516402,32.96979463,29.76190476
179,89.5,53.00155189,50.23913217,53.85066675,40.45403018,28.83704431,37.30348391,30.9462471,26.65101042
180,90,53.07788189,49.80055436,53.66480615,41.34218695,29.57156974,38.66201007,33.47069597,29.94508009
181,90.5,52.66697267,49.67850818,53.72144416,42.53027912,28.60691033,34.5086603,34.31235431,34.83333333
182,91,52.98987871,50.33431166,53.74313791,39.85052659,28.8200521,36.5614368,29.56349206,30.55452484
183,91.5,52.49653969,49.70738416,53.77826375,41.04678544,30.87734077,36.42692543,33.89658229,31.00448934
184,92,53.28745115,50.38658246,53.85696471,40.33253688,30.85049545,38.16852952,29.38037185,31.97818983
185,92.5,52.20351514,50.12251022,53.63511419,40.89500968,30.02771647,36.42857143,31.0434857,30.51887422
186,93,53.32832417,50.07169838,52.546983,39.39577759,29.88877858,40.3102316,32.51322751,32.73617821
187,93.5,54.63856661,50.12866627,53.70301938,39.28129521,31.39156123,37.88081481,33.4469697,31.20046189
188,94,53.38100113,51.21603212,53.44336224,38.93215484,32.18042943,36.00465829,35.24641577,26.99548678
189,94.5,54.55907061,50.71380068,53.64975953,38.8825031,34.20214436,35.77886748,35.54003569,35.67188497
190,95,55.13298671,50.56655854,54.21370224,39.28396018,35.84955929,36.09306885,31.96637427,34.26086957
191,95.5,55.04522121,51.51847963,53.87151167,37.8505646,35.21360277,34.5021645,32.93555766,31.39393939
